# x_1,x_2,Class_label
5.54866894e+02,-1.05005791e+02,0
4.62607856e+02,-8.11204169e+01,0
5.35949844e+01,1.08625124e+01,2
8.62539955e+02,-1.50197206e+02,0
4.14539040e+02,-7.08611224e+01,0
-7.42825799e+01,1.51981780e+01,2
5.81072454e+02,-8.89494897e+01,0
-1.62543497e+02,-9.13281626e+01,1
5.04136145e+02,-8.35945337e+01,0
-1.64523791e+02,4.24329408e+01,2
-1.26405838e+02,-9.25031278e+01,1
-8.96310685e+01,-8.46228706e+01,1
3.90663408e+02,-6.31822283e+01,0
-1.41605704e+02,5.21264106e+01,2
-6.79184062e+01,2.44562957e+01,2
5.00352541e+02,-8.33384531e+01,0
-1.71982049e+01,-7.82988491e+01,1
-3.64078170e+01,-7.70374312e+01,1
4.44305789e+02,-8.23179881e+01,0
4.69795519e+02,-6.86477127e+01,0
-9.40209754e+01,-8.51115440e+01,1
-3.70580257e+01,3.81109811e+01,2
-1.08027519e+02,4.53529802e+01,2
7.17406922e+00,-8.11459102e+01,1
-4.33191016e+01,2.44073699e+01,2
4.05916201e+02,-6.88906959e+01,0
5.75348206e+02,-9.30756732e+01,0
-4.78918618e+01,4.52548506e+01,2
-8.70918485e+01,3.16652434e+01,0
4.06968946e+02,-6.52035618e+01,0
-1.28256990e+02,-8.53172814e+01,1
-9.74206711e+01,5.35700656e+01,2
-3.93468866e+01,-7.65511603e+01,1
-1.62601068e+02,5.10750142e+01,2
-4.98199641e+01,-8.23796515e+01,1
3.97936644e+02,-6.84524410e+01,0
-1.17342224e+02,7.30377085e+01,2
-7.93864716e+01,3.68592313e+01,2
-1.30735484e+02,-8.56105418e+01,0
3.73978037e+01,3.46486330e+01,2
5.59781071e+02,-1.02049630e+02,0
-4.34271296e+01,3.45325049e+01,2
2.32421276e+02,-3.10365237e+01,0
-3.04344805e+01,-8.21206294e+01,1
-9.79004110e+01,-8.62145366e+01,1
4.65943871e+02,-6.20666165e+01,0
-1.09140373e+02,-7.63779037e+01,1
-1.24435656e+02,-8.56751620e+01,1
5.99647195e+02,-9.66862150e+01,0
-3.49955781e+01,-7.32297625e+01,1
3.83912705e+02,-6.40819834e+01,0
-1.61964496e+02,5.46612316e+01,2
7.32937202e+02,-1.23983604e+02,0
2.75640512e+02,-3.83593319e+01,0
-1.18115524e+02,4.17808421e+01,2
2.62188566e+01,3.37111774e+01,1
5.19490052e+02,-8.91745860e+01,0
5.17276024e+02,-8.80030492e+01,0
6.66506541e+02,-1.13781738e+02,0
-1.37576389e+02,4.86903104e+01,2
6.41926404e+02,-1.18907082e+02,0
3.48648062e+02,-6.08076963e+01,0
-1.31013360e+02,5.50404076e+01,2
-1.56777309e+02,-9.44140022e+01,1
-9.21020712e+01,-8.51736361e+01,1
-1.38356381e+02,4.11390326e+01,2
4.99302068e+02,-8.19231852e+01,0
3.70421403e+02,-5.64115823e+01,0
-2.48817878e+01,1.34508903e+01,2
1.44628116e+02,-1.91992992e+01,2
-5.64694385e+01,4.35860754e+01,2
-8.38104682e+01,-8.67176282e+01,1
-1.45369693e+02,-9.18767345e+01,1
-3.37626419e+01,2.89097297e+01,2
2.73835192e+02,-3.39274346e+01,0
-1.53362376e+02,6.07472084e+01,2
5.96999591e+02,-8.87852207e+01,0
-9.28330419e+01,4.92964045e+01,2
-5.62045331e+01,2.93460016e+01,2
-1.27773559e+02,6.40628113e+01,2
-8.57084024e+01,-8.95240675e+01,1
-7.62029814e+01,-7.67195470e+01,1
-5.01389595e+01,1.59271598e+01,2
5.01740442e+02,-7.94404113e+01,0
4.07643515e+02,-7.62976537e+01,0
4.13135677e+02,-7.07580656e+01,0
-1.72404620e+02,4.58790707e+01,2
-1.52027314e+02,4.43538781e+01,0
5.24047681e+02,-8.29625164e+01,2
2.12905110e+01,2.56323931e+01,2
4.94408578e+02,-7.43932359e+01,0
-1.08055451e+02,-8.55380440e+01,1
-7.62633929e+01,-7.82789367e+01,1
-7.87336375e+01,2.90209414e+01,2
-6.71399102e+01,-7.54654727e+01,1
4.52744250e+02,-7.84055998e+01,0
7.07607256e+02,-1.21410302e+02,2
7.27278581e+02,-1.21882864e+02,0
-1.76373442e+02,5.48697144e+01,2
4.23812904e+01,9.09664716e+00,2
-4.40159387e+01,3.40914455e+01,2
-1.24151976e+02,6.35548492e+01,2
-7.38724301e+01,3.95141540e+01,2
-7.87898693e+01,-8.46884924e+01,1
-1.92186873e+02,5.84904613e+01,2
5.61891957e+02,-7.78845367e+01,0
-9.99662809e+01,4.07478812e+01,2
-9.56451809e+01,2.63300680e+01,2
4.99333666e+02,-6.32822388e+01,2
-2.52453394e+01,1.53208941e+01,2
-6.30938477e+01,-7.91985981e+01,1
-1.27334076e+02,-8.20458258e+01,1
6.79374403e+02,-1.05976344e+02,0
3.98533649e+02,-6.59923668e+01,0
4.51960403e+01,2.18849536e+01,2
-4.72396964e+01,-7.93087543e+01,1
-5.03850575e+01,-8.21095906e+01,1
-1.02446874e+02,4.21004412e+01,2
-1.08243936e+02,3.39249009e+01,2
-4.95663388e+01,2.49880545e+01,2
-8.70577954e+01,2.70580773e+01,2
-2.74052405e+01,-7.62438737e+01,1
-1.09277965e+02,5.53136490e+01,2
1.46414703e+01,3.00517560e+01,2
-1.91803827e+02,7.39178556e+01,2
-1.47793451e+02,-8.48910926e+01,1
-7.20379128e+01,-8.41293281e+01,1
-1.35504315e+02,-8.92378459e+01,1
-6.11123549e+01,-8.18581182e+01,1
4.35039274e+02,-7.41281412e+01,0
-1.14001812e+02,2.86068732e+01,2
5.04146494e+02,-7.43512061e+01,0
4.94416179e+02,-7.87965900e+01,0
-6.05225988e+00,4.49259651e+01,2
2.22307403e+01,1.71283265e+01,0
-4.76835252e+01,3.60489906e+01,2
5.56995754e+02,-1.06861645e+02,0
-5.19334816e+01,-8.55932144e+01,1
5.58016743e+02,-9.04636249e+01,0
5.29372450e+02,-9.10985421e+01,0
-5.68947484e+01,-8.37908100e+01,1
-9.05310858e+01,5.26906636e+01,2
-8.93094015e+01,3.94641792e+01,2
-1.92032862e+01,-8.34061535e+01,1
-2.25724541e+01,1.22362249e+01,2
-9.05048628e+01,-8.67418579e+01,1
-1.62023773e+02,6.75394994e+01,2
5.02963493e+02,-7.76034432e+01,0
-7.40081535e+01,4.75455179e+01,2
3.91549636e+01,1.06359585e+01,2
-4.82272994e+01,-8.66804426e+01,0
-6.47674567e+01,-8.29401399e+01,1
4.11987344e+02,-6.36208902e+01,0
-6.37746777e+01,-8.25918495e+01,1
-1.49197486e+02,-7.95658858e+01,1
-9.72554573e+01,-8.81531209e+01,1
-5.58684653e+01,3.50368270e+01,2
-1.34396536e+02,-9.02029826e+01,1
4.90061645e+02,-7.62463956e+01,0
-9.53006868e+01,5.16367153e+01,2
6.26462120e+02,-1.01873263e+02,0
-1.06273924e+02,-8.51179700e+01,1
-9.78805251e+01,-8.89666467e+01,1
-1.51908626e+02,5.53065583e+01,2
-8.31940195e+01,-8.07292408e+01,1
-1.47623002e+02,4.55925466e+01,2
-5.29745469e+01,2.40448157e+01,2
5.58580111e+02,-9.88787137e+01,0
5.77888015e+02,-8.92409635e+01,0
-1.20288236e+02,-8.00379891e+01,1
-3.12289403e+01,1.64748774e+01,2
5.29885687e+02,-8.60053042e+01,0
5.65812432e+02,-1.06626817e+02,0
-9.90132541e+01,7.16793481e+01,2
-4.94696777e+01,-8.73586222e+01,1
3.93974775e+02,-7.31649444e+01,0
-8.72080181e+01,-7.98039180e+01,1
-9.52654369e+01,-8.35720957e+01,1
1.33593947e+01,-7.20008397e+01,1
7.66454628e+02,-1.32753428e+02,0
-1.85837336e+02,5.45616138e+01,2
-4.97389587e+00,-7.35257392e+01,1
4.43704777e+02,-6.58043958e+01,0
-1.61088310e+02,-9.88527803e+01,1
1.69187141e+00,4.05925819e+01,2
-6.97587609e+01,3.70509965e+01,2
-8.47491586e+01,5.89070022e+01,2
2.78840566e-01,3.57751986e+01,1
-3.72749775e+01,-7.58036718e+01,1
-1.14090645e+02,-9.40640790e+01,1
5.00491947e+02,-8.96184516e+01,0
-6.36007595e+01,-8.05553968e+01,1
-1.99298606e+02,6.79194065e+01,2
4.33578627e+02,-7.13029487e+01,0
5.29254918e+02,-9.35070036e+01,0
5.88337871e+02,-1.05562711e+02,0
5.37675625e+02,-9.37558357e+01,0
5.76040328e+02,-8.67195280e+01,0
3.61382936e+01,2.17795605e+01,0
-4.75249082e+01,-8.20505009e+01,0
-4.09399274e+01,2.91481939e+01,2
-1.19124955e+02,-8.50338768e+01,1
5.71952254e+02,-9.07370519e+01,0
5.06854370e+02,-7.83265455e+01,0
-3.54218657e+01,4.83327735e+01,2
-2.35675582e+01,-8.10949373e+01,1
-4.80596502e+01,2.90854946e+01,2
3.00831169e+02,-4.89115329e+01,0
5.59021842e+02,-8.89980564e+01,0
-1.23786946e+02,2.44729460e+01,2
5.39281150e+02,-1.00625294e+02,0
-4.98724144e+01,3.54087336e+01,2
-3.17744487e+01,-8.13696542e+01,1
-2.13130479e+01,3.55649534e+01,2
4.51912174e+02,-5.89068914e+01,0
4.21468792e+02,-6.96132283e+01,0
3.32672565e+01,2.21011914e+01,2
-1.61084317e+02,4.77305602e+01,2
-8.00023669e+01,-8.40050609e+01,1
4.22717574e+02,-5.73475742e+01,0
-1.35570192e+02,-8.67351639e+01,1
-5.43105407e+01,2.08291156e+01,2
4.83445139e+02,-7.89047603e+01,0
6.18999780e+02,-9.34768849e+01,0
-1.05894687e+02,5.66690664e+01,1
-4.79617031e+01,1.49423667e+01,2
-7.38984553e+01,2.43861110e+01,2
4.49118133e+02,-6.99211354e+01,1
-1.04187563e+02,-8.37250940e+01,1
8.03445537e+01,6.66757640e+00,2
-6.71332813e+01,-8.20064833e+01,2
-2.46229154e+01,-7.18189390e+01,1
3.82620582e+02,-6.40833327e+01,2
-5.35901797e+01,-8.47617480e+01,1
-1.74005035e+02,-9.38996637e+01,1
8.54281353e+01,-6.74416775e+00,2
7.60228637e+02,-1.31517421e+02,0
-6.36264629e+01,4.73635422e+01,2
-1.07129841e+02,5.65826786e+01,2
-7.52401281e+01,-8.17444414e+01,1
-9.14543249e+01,-8.59028483e+01,1
6.22570757e+02,-1.10651532e+02,0
4.42591992e+02,-6.63413382e+01,0
-8.35623804e+01,-7.87560337e+01,1
4.09206238e+02,-6.95014585e+01,0
-1.51310486e+02,-9.23944630e+01,1
-3.66509365e+01,-8.35086566e+01,0
-9.44035676e+01,4.01124610e+01,2
-8.93543037e+01,-8.89605837e+01,1
6.95961276e+00,-7.19549322e+01,1
-6.60473864e+01,-8.68868735e+01,1
-9.95874411e+01,-8.68220120e+01,1
-6.83132189e+01,3.35947885e+01,1
-5.94993597e+01,-7.72285268e+01,1
-1.34938954e+02,-9.25526563e+01,1
-3.03775388e+00,2.19830619e+01,2
-1.47177966e+02,-9.45276839e+01,1
6.22674124e+02,-8.85767698e+01,0
-1.93904289e+02,7.19212328e+01,2
-7.43619651e+01,-8.78265902e+01,1
-5.06166141e+01,4.83050306e+01,2
